"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A5%E0%B8%A1%E0%B9%82%E0%B8%8A%E0%B8%A2+%E0%B8%93+%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1/data=!4m7!3m6!1s0x313c0c13d12ea70b:0xb729b948f6e61b48!8m2!3d17.3840598!4d104.7342032!16s%2Fg%2F11g8w0vt8n!19sChIJC6cu0RMMPDERSBvm9ki5Kbc?authuser=0&hl=th&rclk=1","ร้านลมโชย ณ นครพนม","4.3","(50)","ร้านอาหาร","·","9PMM+JMG","เปิด","⋅ ปิด 00:00","https://lh5.googleusercontent.com/p/AF1QipPLzcFJrThLjeFpS6s0_aNqIo8ryZwuRTflBF6o=w124-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1%E0%B8%9B%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84%E2%80%8B+%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88%26%E0%B8%9A%E0%B8%B2%E0%B8%A3%E0%B9%8C/data=!4m7!3m6!1s0x313c0dc332fc5aa9:0x4daa2e10e876bc59!8m2!3d17.3826832!4d104.7320888!16s%2Fg%2F11sm8tvz5t!19sChIJqVr8MsMNPDERWbx26BAuqk0?authuser=0&hl=th&rclk=1","นครพนมปาร์ค​ คาเฟ่&บาร์","4.4","(75)","ร้านอาหาร","·","·","เปิด","⋅ ปิด 22:00","https://lh5.googleusercontent.com/p/AF1QipPZBMgbmVeSszFycXgdOmiE4zvTJKXRMigbu2Zx=w122-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%9B%E0%B8%B9%E0%B9%88%E2%80%8B+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E2%80%8B%E0%B9%80%E0%B8%99%E0%B8%B4%E0%B8%99%E2%80%8B%E0%B8%AA%E0%B8%B0%E0%B8%AD%E0%B8%B2%E0%B8%94%E2%80%8B/data=!4m7!3m6!1s0x313c0c74bba3117b:0xa6446935f8e0046e!8m2!3d17.3946442!4d104.7277737!16s%2Fg%2F11h9__d3y6!19sChIJexGju3QMPDERbgTg-DVpRKY?authuser=0&hl=th&rclk=1","ร้านอาหารครัวคุณปู่​ สาขาบ้าน​เนิน​สะอาด​","5.0","(2)","ร้านอาหาร","·","9PVH+V42","เปิด","⋅ ปิด 23:45","https://lh5.googleusercontent.com/p/AF1QipPs-4RItZhL6B-AshmsFEaRv7ic_XvF1lOt5X9A=w122-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B9%80%E0%B8%AE%E0%B8%B7%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A7%E0%B8%99/data=!4m7!3m6!1s0x313c0dfc67a29b41:0xb14d62b92a495b35!8m2!3d17.36625!4d104.7339722!16s%2Fg%2F11fm4rk0qv!19sChIJQZuiZ_wNPDERNVtJKrliTbE?authuser=0&hl=th&rclk=1","เฮือนสวน","5.0","(1)","ร้านอาหาร","·","9P8M+GH5 2033","เปิด","⋅ ปิด 21:00","https://lh5.googleusercontent.com/p/AF1QipOmtMbXjf24AYlGZrjAQ8Z2neAwJjuIMcyePUYH=w80-h106-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99+%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9B%E0%B8%B8%E0%B9%89%E0%B8%99%E0%B8%95%E0%B8%B2%E0%B8%AB%E0%B8%A1%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B8%AD%E0%B8%99%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B8%87/data=!4m7!3m6!1s0x313c0d8bc9a1bc83:0x19ea9e3cb34e5e79!8m2!3d17.3838912!4d104.7090449!16s%2Fg%2F11k5pz5b15!19sChIJg7yhyYsNPDEReV5Oszye6hk?authuser=0&hl=th&rclk=1","ร้าน ข้าวปุ้นตาหมายดอนยานาง","4.1","(24)","ร้านอาหาร","·","เลขที่ 245 หมู่ 1 หมู่บ้าน ดอนนานาง","","","https://lh5.googleusercontent.com/p/AF1QipMhI1Ldaif5HLQXAOJGFI18WNaWZvlpCO5dLCSq=w91-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%95%E0%B9%89%E0%B8%AD%E0%B8%A1%2F%E0%B8%95%E0%B8%B4%E0%B9%8A%E0%B8%81/data=!4m7!3m6!1s0x313c0b8daad48bc9:0x782ee46aa3f3f686!8m2!3d17.4083052!4d104.7257089!16s%2Fg%2F11bx9dffcj!19sChIJyYvUqo0LPDERhvbzo2rkLng?authuser=0&hl=th&rclk=1","บ้านต้อม/ติ๊ก","4.7","(15)","ร้านอาหาร","·","·","ใกล้ปิดแล้ว","⋅ 20:00 ⋅ เปิด 09:30 พฤ.","https://lh5.googleusercontent.com/p/AF1QipMxQVym0gLwY2U_CGSn7kE-PtsLkcN0WNbCbH5m=w80-h142-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%82%E0%B8%8A%E0%B8%81%E0%B8%B8%E0%B8%99%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%9B%E0%B8%8D%E0%B8%B5%E0%B9%88%E0%B8%9B%E0%B8%B8%E0%B9%88%E0%B8%99%26%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%9B%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99/data=!4m7!3m6!1s0x313c0c73aa32d193:0x48bd233e9d24887!8m2!3d17.3912926!4d104.7256746!16s%2Fg%2F11c5zbsb9k!19sChIJk9EyqnMMPDERh0jS6TPSiwQ?authuser=0&hl=th&rclk=1","ร้านโชกุนเครปญี่ปุ่น&เครปเย็น","4.6","(10)","เครป","·","9PRG+G77","เปิด","⋅ ปิด 21:00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=H5JKVDyIC5BWroBsgKbrlA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=21.168232&pitch=0&thumbfov=100","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%AA%E0%B8%B5%E0%B8%9F%E0%B9%89%E0%B8%B2/data=!4m7!3m6!1s0x313c0da4b6a96d8b:0xfdbf3ad369b6cf34!8m2!3d17.3914651!4d104.730018!16s%2Fg%2F11j5t2h0p_!19sChIJi22ptqQNPDERNM-2adM6v_0?authuser=0&hl=th&rclk=1","ครัวสีฟ้า","5.0","(1)","ร้านอาหาร","·","9PRJ+H2J","","","https://lh5.googleusercontent.com/p/AF1QipM57hovrPSu-gMGZic1iRaxJranVYgf4aCIMmk5=w80-h106-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
